Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode,Offerings,Market Tone,Price Comment,Comments
CILANTRO,ATLANTA,,cartons bunched,,,,05/16/2023,16.0,17.0,16.0,16.0,CALIFORNIA,,30s,,,,,,,,,N,,VERY LIGHT.,,,
CILANTRO,ATLANTA,,cartons bunched,,,,05/16/2023,23.0,26.0,,,CALIFORNIA,,60s,,,,,,,,,N,,VERY LIGHT.,,occas lower,
CILANTRO,ATLANTA,,cartons bunched,,,,05/16/2023,16.0,17.0,17.0,17.0,MEXICO,,60s,,,,,,,,,N,,VERY LIGHT.,,few 21.00,
CILANTRO,BALTIMORE,,crates bunched,,,,05/16/2023,17.0,19.0,17.0,18.0,MEXICO,,60s,,,,,,,,,N,,,"CA 30S AND 60S SLIGHTLY LOWER, OTHERS STEADY.",,
CILANTRO,BALTIMORE,,containers approx 18 lbs,,,,05/16/2023,18.0,19.0,,,MEXICO,,60s,,,,,,,,,N,,,"CA 30S AND 60S SLIGHTLY LOWER, OTHERS STEADY.",,
CILANTRO,BALTIMORE,,cartons bunched,,,,05/16/2023,16.0,16.0,,,CALIFORNIA,,30s,,,,,,,,,N,,,"CA 30S AND 60S SLIGHTLY LOWER, OTHERS STEADY.",,
CILANTRO,BALTIMORE,,cartons bunched,,,,05/16/2023,26.0,26.0,,,CALIFORNIA,,60s,,,,,,,,,N,,,"CA 30S AND 60S SLIGHTLY LOWER, OTHERS STEADY.",occas higher,
CILANTRO,BOSTON,,cartons bunched,,,,05/16/2023,26.0,28.0,,,CALIFORNIA,,30s,,,,,,,,,N,,,STEADY.,,
CILANTRO,BOSTON,,cartons bunched,,,,05/16/2023,32.0,32.0,,,CALIFORNIA,,60s,,,,,,,,,N,,,STEADY.,,
CILANTRO,BOSTON,,cartons bunched,,,,05/16/2023,20.0,22.0,,,NEW JERSEY,,30s,,,,,,,,,N,,,STEADY.,,
CILANTRO,BOSTON,,cartons bunched,,,,05/16/2023,20.0,20.0,,,TEXAS,,30s,,,,,,,,,N,,,STEADY.,,
CILANTRO,CHICAGO,,crates bunched,,,,05/16/2023,10.0,10.0,,,MEXICO,,30s,,,,,,,,,N,,LIGHT.,,,
CILANTRO,CHICAGO,,crates bunched,,,,05/16/2023,14.0,16.0,,,MEXICO,,60s,,,,,,,,,N,,LIGHT.,,,
CILANTRO,CHICAGO,,crates bunched,,,,05/16/2023,33.0,33.0,,,TEXAS,,60s,,,,,,,,,N,,LIGHT.,,,
CILANTRO,COLUMBIA,,crates bunched,,,,05/16/2023,18.0,24.0,,,MEXICO,,60s,,,,,,,,,N,,LIGHT.,STEADY.,,
CILANTRO,COLUMBIA,,crates bunched,,,,05/16/2023,10.0,10.0,,,,,30s,,,,,,,,,L,,LIGHT.,STEADY.,,
CILANTRO,COLUMBIA,,cartons bunched,,,,05/16/2023,23.0,23.0,,,CALIFORNIA,,30s,,,,,,,,,N,,LIGHT.,STEADY.,,
CILANTRO,DETROIT,,cartons bunched,,,,05/16/2023,30.5,34.0,32.5,33.5,CALIFORNIA,,60s,,,,,,,,,N,,,STEADY.,one lot 28.00,
CILANTRO,DETROIT,,cartons bunched,,,,05/16/2023,22.5,26.5,23.5,24.5,MEXICO,,60s,,,,,,,,,N,,,STEADY.,,
CILANTRO,DETROIT,,cartons,WITH ROOT,,,05/16/2023,28.5,28.5,,,NEW JERSEY,,24s,,,,,,,,,N,,,STEADY.,,
CILANTRO,LOS ANGELES,,1 1/9 bushel crates bunched,,,,05/16/2023,,,,,MEXICO,BAJA DISTRICT,30s,,,,,,,,,N,,MEXICO LIGHT.,ABOUT STEADY.,offerings insufficient to quote,
CILANTRO,LOS ANGELES,,1 1/9 bushel crates bunched,,,,05/16/2023,,,,,MEXICO,BAJA DISTRICT,60s,,,,,,,,,N,,MEXICO LIGHT.,ABOUT STEADY.,offerings insufficient to quote,
CILANTRO,LOS ANGELES,Organic,1 1/9 bushel crates bunched,,,,05/16/2023,33.0,34.0,,,MEXICO,,30s,,,,,,,,,N,,MEXICO LIGHT.,ABOUT STEADY.,,
CILANTRO,LOS ANGELES,,cartons bunched,,,,05/16/2023,10.0,12.0,11.0,12.0,CALIFORNIA,OXNARD DISTRICT CALIFORNIA,30s,,,,,,,,,N,,MEXICO LIGHT.,ABOUT STEADY.,occas higher,
CILANTRO,LOS ANGELES,,cartons bunched,,,,05/16/2023,14.0,16.0,15.0,16.0,CALIFORNIA,CENTRAL COAST CALIFORNIA,30s,,,,,,,,,N,,MEXICO LIGHT.,ABOUT STEADY.,occas higher/lower,
