restaurantId,sides.itemId,sides.unitPrice,sides.unitDeliveryPrice,array_index,restaurantNumber,addresses.0.administrativeArea,addresses.0.latitude,addresses.0.longitude
2149,CMG-1009,2.65,3.45,4,2149,CA,37.394826,-121.946348
430,CMG-1009,2.8,3.65,4,430,CA,37.485816,-122.228957
1765,CMG-1009,2.8,3.65,4,1765,CA,37.383101,-121.896718
1107,CMG-1009,2.75,3.6,4,1107,CA,37.262214,-121.931864
1637,CMG-1009,2.9,3.75,4,1637,CA,37.732506,-122.489986
1472,CMG-1009,2.65,3.45,4,1472,CA,38.537853,-121.492431
4212,CMG-1009,2.85,3.7,4,4212,CA,36.836732,-119.862392
2892,CMG-1009,2.65,3.45,4,2892,CA,36.781636,-119.790074
3505,CMG-1009,2.65,3.45,4,3505,CA,38.948013,-119.958085
875,CMG-1009,2.65,3.45,4,875,CA,34.284132,-118.775359
1128,CMG-1009,2.85,3.7,4,1128,CA,34.394452,-118.462748
1412,CMG-1009,2.65,3.45,4,1412,CA,34.143657,-118.397758
1167,CMG-1009,2.65,3.45,4,1167,CA,34.023344,-118.394364
1286,CMG-1009,2.65,3.45,4,1286,CA,33.8654,-118.393478
2320,CMG-1009,2.85,3.7,4,2320,CA,33.811967,-118.181334
3195,CMG-1009,2.65,3.45,4,3195,OR,42.309172,-122.851621
1176,CMG-1009,2.65,3.45,4,1176,CA,33.726841,-117.989692
1924,CMG-1009,2.65,3.45,4,1924,CA,33.860571,-117.792008
3674,CMG-1009,2.65,3.45,4,3674,CA,33.699936,-117.084833
2678,CMG-1009,2.8,3.65,4,2678,CA,33.245196,-117.290349
235,CMG-1009,2.65,3.45,4,235,CA,32.913853,-117.146011
3735,CMG-1009,2.65,3.45,4,3735,ID,43.662319,-116.40936
846,CMG-1009,2.65,3.45,4,846,OR,45.454356,-122.77552
2532,CMG-1009,2.7,3.5,4,2532,UT,40.659756,-111.887707
3457,CMG-1009,2.7,3.5,4,3457,AZ,33.347271,-111.964492
1581,CMG-1009,2.65,3.45,4,1581,WA,47.041925,-122.933975
3502,CMG-1009,2.8,3.65,4,3502,WA,47.437723,-120.323535
1363,CMG-1009,2.65,3.45,4,1363,WA,47.610279,-122.337519
2590,CMG-1009,2.8,3.65,4,2590,AZ,32.398646,-110.955784
2271,CMG-1009,2.8,3.65,4,2271,WA,48.784943,-122.489619
3003,CMG-1009,2.95,3.55,4,3003,BC,49.263179,-123.115525
4028,CMG-1009,2.65,3.45,4,4028,MT,48.231506,-114.331299
2355,CMG-1009,2.7,3.5,4,2355,CO,39.98639,-105.097962
254,CMG-1009,2.7,3.5,4,254,CO,39.595465,-104.84874
3508,CMG-1009,2.65,3.45,4,3508,KS,37.721804,-97.363634
1651,CMG-1009,2.6,3.4,4,1651,NE,40.815686,-96.702361
4022,CMG-1009,2.7,3.5,4,4022,TX,32.681325,-97.462227
2021,CMG-1009,2.7,3.5,4,2021,TX,32.88015,-97.098193
2141,CMG-1009,2.65,3.45,4,2141,OK,36.104126,-95.911377
3238,CMG-1009,2.7,3.5,4,3238,TX,32.706173,-97.023415
1734,CMG-1009,2.7,3.5,4,1734,TX,33.078407,-96.820292
101,CMG-1009,2.7,3.5,4,101,TX,33.107362,-96.806229
3684,CMG-1009,2.65,3.45,4,3684,OK,36.060371,-95.785148
2753,CMG-1009,2.7,3.5,4,2753,TX,29.650339,-98.449903
971,CMG-1009,2.7,3.5,4,971,TX,29.519679,-98.501378
756,CMG-1009,2.7,3.5,4,756,TX,32.955566,-96.616909
466,CMG-1009,2.7,3.5,4,466,TX,30.649201,-97.677597
669,CMG-1009,2.65,3.45,4,669,MO,39.813656,-94.813872
1848,CMG-1009,2.65,3.45,4,1848,MO,38.814028,-94.510088
2557,CMG-1009,2.65,3.45,4,2557,IA,41.562515,-93.799293
3753,CMG-1009,2.65,3.45,4,3753,TX,30.590791,-96.330037
19,CMG-1009,2.65,3.45,4,19,MN,45.095678,-93.44131
3256,CMG-1009,2.5,3.25,4,3256,MN,44.930604,-93.349429
2724,CMG-1009,2.6,3.4,4,2724,MN,45.158322,-93.390783
764,CMG-1009,2.65,3.45,4,764,MN,45.055094,-93.364971
594,CMG-1009,2.7,3.5,4,594,MN,44.86401,-93.288867
33,CMG-1009,2.65,3.45,4,33,MN,44.731145,-93.219372
3881,CMG-1009,2.65,3.45,4,3881,TX,29.734063,-95.775252
1287,CMG-1009,2.7,3.5,4,1287,TX,29.997368,-95.163998
3406,CMG-1009,2.7,3.5,4,3406,TX,29.508398,-95.186989
1632,CMG-1009,2.65,3.45,4,1632,AR,34.794012,-92.400984
3884,CMG-1009,2.65,3.45,4,3884,MO,38.784496,-90.531183
3943,CMG-1009,2.7,3.5,4,3943,MO,38.60174,-90.466729
2350,CMG-1009,2.65,3.45,4,2350,IL,40.669464,-89.583838
3459,CMG-1009,2.65,3.45,4,3459,WI,43.061432,-89.504906
3851,CMG-1009,2.65,3.45,4,3851,IL,42.319306,-88.978606
4687,CMG-1009,2.7,3.5,4,4687,TN,35.359919,-89.892458
3340,CMG-1009,2.7,3.5,4,3340,MS,34.963131,-89.990395
3849,CMG-1009,2.65,3.45,4,3849,IL,41.900848,-88.340203
3468,CMG-1009,2.6,3.4,4,3468,IL,41.780454,-88.240191
587,CMG-1009,2.5,3.25,4,587,IL,41.801708,-88.172313
1671,CMG-1009,2.65,3.45,4,1671,IL,41.576883,-88.158892
1800,CMG-1009,2.4,3.1,4,1800,IL,41.797449,-88.118673
2737,CMG-1009,2.65,3.45,4,2737,IL,41.90583,-87.985485
2247,CMG-1009,2.65,3.45,4,2247,IL,42.182149,-87.929058
4136,CMG-1009,2.65,3.45,4,4136,WI,44.487026,-87.962984
168,CMG-1009,2.65,3.45,4,168,IL,42.104781,-87.814037
4030,CMG-1009,2.65,3.45,4,4030,IL,42.040714,-87.796359
400,CMG-1009,2.5,3.25,4,400,IL,42.002719,-87.661209
4693,CMG-1009,2.7,3.5,4,4693,IN,37.988411,-87.473145
686,CMG-1009,2.65,3.45,4,686,IN,40.000837,-86.118961
3539,CMG-1009,2.7,3.5,4,3539,AL,34.75046,-86.759471
2088,CMG-1009,2.7,3.5,4,2088,KY,39.087037,-84.477918
4226,CMG-1009,2.6,3.4,4,4226,OH,39.161847,-84.4203
1399,CMG-1009,2.5,3.25,4,1399,OH,39.292668,-84.392782
1400,CMG-1009,2.65,3.45,4,1400,OH,40.056496,-84.243259
1012,CMG-1009,2.6,3.4,4,1012,OH,41.673053,-83.716357
3514,CMG-1009,2.65,3.45,4,3514,OH,40.337425,-83.761345
1618,CMG-1009,2.65,3.45,4,1618,OH,40.236781,-83.350109
818,CMG-1009,2.65,3.45,4,818,MI,42.626416,-82.98776
4148,CMG-1009,2.7,3.5,4,4148,MI,42.594247,-82.901033
29,CMG-1009,2.65,3.45,4,29,OH,40.103998,-83.157364
947,CMG-1009,2.7,3.5,4,947,OH,40.029622,-83.116149
3084,CMG-1009,2.5,3.25,4,3084,OH,39.840718,-83.084876
2087,CMG-1009,2.65,3.45,4,2087,OH,39.982811,-83.004472
2913,CMG-1009,2.65,3.45,4,2913,OH,39.581716,-82.952244
3196,CMG-1009,2.65,3.45,4,3196,OH,39.915685,-82.781022
4192,CMG-1009,2.65,3.45,4,4192,GA,33.829876,-84.491645
4135,CMG-1009,2.65,3.45,4,4135,GA,33.562004,-84.583168
459,CMG-1009,2.7,3.5,4,459,GA,34.067433,-84.169294
3566,CMG-1009,2.7,3.5,4,3566,OH,41.424517,-82.078073
1598,CMG-1009,2.65,3.45,4,1598,GA,33.947371,-83.408834
3444,CMG-1009,2.65,3.45,4,3444,OH,40.958791,-81.463349
3726,CMG-1009,2.65,3.45,4,3726,TN,36.340525,-82.375067
2467,CMG-1009,2.8,3.65,4,2467,WV,38.318562,-81.718723
1820,CMG-1009,2.65,3.45,4,1820,SC,34.552487,-82.678131
3025,CMG-1009,2.7,3.5,4,3025,GA,33.490231,-82.079801
3414,CMG-1009,2.65,3.45,4,3414,PA,40.422276,-79.662292
2880,CMG-1009,2.7,3.5,4,2880,NC,35.371145,-80.722987
3801,CMG-1009,2.7,3.5,4,3801,NC,35.42271,-80.676294
3393,CMG-1009,2.8,3.65,4,3393,FL,30.196359,-81.829889
813,CMG-1009,2.65,3.45,4,813,FL,28.063578,-82.503442
994,CMG-1009,2.6,3.4,4,994,NC,36.009121,-78.944674
2548,CMG-1009,2.8,3.65,4,2548,FL,27.960183,-82.505162
3133,CMG-1009,2.7,3.5,4,3133,NC,36.040179,-78.899276
3295,CMG-1009,2.9,3.75,4,3295,VA,39.00628,-77.43758
334,CMG-1009,2.9,3.75,4,334,VA,38.897516,-77.443503
350,CMG-1009,2.9,3.75,4,350,VA,38.857663,-77.357521
456,CMG-1009,2.85,3.7,4,456,VA,38.852589,-77.327248
461,CMG-1009,2.75,3.6,4,461,MD,39.124667,-77.236987
604,CMG-1009,2.7,3.5,4,604,FL,28.661332,-81.396677
1870,CMG-1009,2.8,3.65,4,1870,FL,28.485062,-81.431721
442,CMG-1009,2.65,3.45,4,442,FL,28.55358,-81.346916
4225,CMG-1009,2.7,3.5,4,4225,FL,28.30348,-81.45728
2055,CMG-1009,2.65,3.45,4,2055,MD,39.035843,-77.055322
1845,CMG-1009,2.85,3.7,4,1845,VA,38.863442,-77.060614
2668,CMG-1009,2.65,3.45,4,2668,MD,39.021865,-76.976696
2565,CMG-1009,2.8,3.65,4,2565,DC,38.932191,-76.996401
447,CMG-1009,2.8,3.65,4,447,MD,39.055511,-76.954912
1940,CMG-1009,2.75,3.6,4,1940,PA,39.939665,-76.693203
3146,CMG-1009,2.85,3.7,4,3146,DC,38.920086,-76.952888
4325,CMG-1009,2.8,3.65,4,4325,VA,38.350319,-77.054796
2695,CMG-1009,2.8,3.65,4,2695,MD,38.957758,-76.86999
3598,CMG-1009,2.8,3.65,4,3598,MD,39.384594,-76.688927
608,CMG-1009,2.8,3.65,4,608,MD,39.495593,-76.327773
1353,CMG-1009,2.7,3.5,4,1353,VA,37.287482,-76.721078
2129,CMG-1009,2.65,3.45,4,2129,NC,34.786515,-77.402599
3185,CMG-1009,2.7,3.5,4,3185,VA,37.066963,-76.491821
2379,CMG-1009,2.8,3.65,4,2379,NC,35.102893,-77.085557
3229,CMG-1009,2.7,3.5,4,3229,VA,36.824352,-76.412171
2710,CMG-1009,2.85,3.7,4,2710,PA,40.650509,-75.29484
2733,CMG-1009,2.7,3.5,4,2733,PA,39.938301,-75.353662
1045,CMG-1009,2.7,3.5,4,1045,PA,40.007464,-75.212216
1938,CMG-1009,2.7,3.5,4,1938,PA,40.047823,-75.058301
1980,CMG-1009,2.7,3.5,4,1980,NJ,39.734516,-75.007887
3173,CMG-1009,2.7,3.5,4,3173,NJ,40.498091,-74.644712
1275,CMG-1009,2.7,3.5,4,1275,NJ,40.687128,-74.31577
747,CMG-1009,2.7,3.5,4,747,NJ,40.888695,-74.251974
1386,CMG-1009,2.85,3.7,4,1386,NY,42.860239,-73.780359
1823,CMG-1009,2.9,3.75,4,1823,NJ,40.916331,-74.076981
2566,CMG-1009,2.8,3.65,4,2566,NJ,40.415183,-74.15862
3749,CMG-1009,2.65,3.45,4,3749,FL,25.827515,-80.368507
1631,CMG-1009,2.95,3.85,4,1631,NY,40.733578,-73.999878
1928,CMG-1009,3.1,4.05,4,1928,NY,40.786236,-73.977863
2838,CMG-1009,2.95,3.85,4,2838,NY,40.825455,-73.919076
3233,CMG-1009,2.95,3.85,4,3233,NY,40.69989,-73.941059
3591,CMG-1009,2.95,3.85,4,3591,NY,40.776119,-73.911298
3700,CMG-1009,2.9,3.75,4,3700,NY,40.993128,-73.820926
3087,CMG-1009,2.65,3.45,4,3087,FL,25.772923,-80.264015
3510,CMG-1009,2.7,3.5,4,3510,FL,25.765576,-80.193144
3587,CMG-1009,2.8,3.65,4,3587,NY,40.956648,-73.736832
1424,CMG-1009,2.8,3.65,4,1424,CT,41.090926,-73.45563
816,CMG-1009,2.65,3.45,4,816,NY,40.72675,-73.423038
3536,CMG-1009,2.9,3.75,4,3536,CT,41.201797,-73.116697
1927,CMG-1009,2.75,3.6,4,1927,CT,41.369121,-72.918123
2337,CMG-1009,2.8,3.65,4,2337,NY,40.867938,-73.02582
2568,CMG-1009,2.85,3.7,4,2568,NY,40.925766,-72.692132
2954,CMG-1009,2.85,3.7,4,2954,MA,42.3227,-71.0614
1617,CMG-1025,5.3,6.9,4,1617,CA,37.444352,-122.170843
651,CMG-1025,5.6,7.3,4,651,CA,37.554387,-121.981729
2449,CMG-1025,5.8,7.55,4,2449,CA,37.705657,-121.890836
2384,CMG-1025,5.8,7.55,4,2384,CA,37.786139,-122.281214
2048,CMG-1025,5.8,7.55,4,2048,CA,37.994675,-122.105783
2150,CMG-1025,5.8,7.55,4,2150,CA,36.596934,-121.894483
299,CMG-1025,5.3,6.9,4,299,CA,37.994695,-121.31342
2415,CMG-1025,5.8,7.55,4,2415,CA,38.285897,-122.274356
4014,CMG-1025,5.7,7.4,4,4014,CA,37.579848,-120.941099
704,CMG-1025,5.6,7.3,4,704,CA,38.594345,-121.28845
2472,CMG-1025,5.6,7.3,4,2472,CA,38.617043,-121.26897
3811,CMG-1025,5.3,6.9,4,3811,CA,38.7918,-121.356055
2746,CMG-1025,5.8,7.55,4,2746,CA,39.151643,-123.199436
3388,CMG-1025,5.3,6.9,4,3388,CA,39.49758,-121.574464
1688,CMG-1025,5.6,7.3,4,1688,CA,34.439451,-119.74914
4247,CMG-1025,5.6,7.3,4,4247,CA,35.130966,-118.466885
3219,CMG-1025,5.3,6.9,4,3219,CA,34.188358,-119.222115
2093,CMG-1025,5.6,7.3,4,2093,CA,34.15663,-118.437435
1945,CMG-1025,5.6,7.3,4,1945,CA,34.048562,-118.3367
1913,CMG-1025,5.3,6.9,4,1913,CA,34.06215,-118.291372
3094,CMG-1025,5.6,7.3,4,3094,CA,33.978533,-118.370625
1500,CMG-1025,5.3,6.9,4,1500,CA,34.047573,-118.256658
2241,CMG-1025,5.7,7.4,4,2241,CA,33.876523,-118.217833
3854,CMG-1025,5.6,7.3,4,3854,CA,33.9781,-118.04924
3995,CMG-1025,5.7,7.4,4,3995,CA,34.50723,-117.39591
1288,CMG-1025,5.6,7.3,4,1288,CA,33.991125,-117.924697
829,CMG-1025,5.3,6.9,4,829,CA,34.027892,-117.833865
229,CMG-1025,5.3,6.9,4,229,CA,33.687593,-117.954502
1465,CMG-1025,5.6,7.3,4,1465,CA,33.976619,-117.552862
805,CMG-1025,5.3,6.9,4,805,CA,33.698363,-117.885057
487,CMG-1025,5.6,7.3,4,487,CA,33.902633,-117.561865
3782,CMG-1025,5.3,6.9,4,3782,CA,33.668884,-117.764664
2955,CMG-1025,5.3,6.9,4,2955,CA,33.807429,-117.22663
479,CMG-1025,5.6,7.3,4,479,CA,33.181823,-117.331311
2034,CMG-1025,5.3,6.9,4,2034,CA,33.01985,-117.11079
3994,CMG-1025,5.3,6.9,4,3994,UT,37.653579,-113.08464
2259,CMG-1025,5.4,7.0,4,2259,ID,43.612686,-116.203084
4587,CMG-1025,5.3,6.9,4,4587,OR,45.402986,-122.794573
2700,CMG-1025,5.3,6.9,4,2700,OR,45.53322,-122.935485
4150,CMG-1025,5.3,6.9,4,4150,WA,45.672456,-122.525802
3971,CMG-1025,5.4,7.0,4,3971,UT,40.508655,-112.00013
1104,CMG-1025,5.4,7.0,4,1104,UT,40.562517,-111.890484
953,CMG-1025,5.3,6.9,4,953,UT,40.89078,-111.89262
1768,CMG-1025,5.4,7.0,4,1768,AZ,33.665923,-112.203393
2573,CMG-1025,5.3,6.9,4,2573,WA,46.221254,-119.223125
658,CMG-1025,5.4,7.0,4,658,AZ,33.377942,-111.807652
2595,CMG-1025,5.3,6.9,4,2595,WA,47.05788,-122.765236
4408,CMG-1025,5.3,6.9,4,4408,WA,47.103696,-119.250021
2228,CMG-1025,5.3,6.9,4,2228,WA,47.62032,-122.33817
2935,CMG-1025,5.3,6.9,4,2935,WA,47.72185,-122.29419
3043,CMG-1025,5.4,7.0,4,3043,AZ,32.163879,-110.98956
3166,CMG-1025,5.3,6.9,4,3166,WA,48.151763,-122.191354
3802,CMG-1025,5.3,6.9,4,3802,WA,47.745933,-117.4044
2263,CMG-1025,5.6,7.3,4,2263,WA,48.452875,-122.335635
3091,CMG-1025,5.4,7.0,4,3091,NM,36.767412,-108.147771
4321,CMG-1025,5.9,7.15,4,4321,BC,49.17859,-123.12133
4040,CMG-1025,5.9,7.15,4,4040,BC,49.320259,-123.072858
1923,CMG-1025,5.4,7.0,4,1923,TX,31.729105,-106.303345
4684,CMG-1025,5.9,7.15,4,4684,AB,51.080964,-113.995152
673,CMG-1025,5.2,6.75,4,673,NE,40.739298,-96.679507
3548,CMG-1025,5.4,7.0,4,3548,TX,33.017289,-97.30217
4170,CMG-1025,5.3,6.9,4,4170,ND,46.834232,-96.820473
1788,CMG-1025,5.4,7.0,4,1788,TX,32.595463,-97.148099
344,CMG-1025,5.4,7.0,4,344,TX,33.000531,-96.962609
2784,CMG-1025,5.4,7.0,4,2784,TX,31.130868,-97.798133
1071,CMG-1025,5.4,7.0,4,1071,TX,29.548573,-98.665047
3121,CMG-1025,5.3,6.9,4,3121,OK,36.012662,-95.886717
1195,CMG-1025,5.4,7.0,4,1195,TX,33.682577,-96.60891
1616,CMG-1025,5.3,6.9,4,1616,TX,32.999127,-96.796695
314,CMG-1025,5.4,7.0,4,314,TX,32.907832,-96.769701
3322,CMG-1025,5.4,7.0,4,3322,TX,32.65023,-96.865662
3984,CMG-1025,5.4,7.0,4,3984,TX,30.586461,-97.857104
3967,CMG-1025,5.4,7.0,4,3967,TX,29.478982,-98.363771
1723,CMG-1025,5.4,7.0,4,1723,TX,30.247644,-97.775468
3194,CMG-1025,5.2,6.75,4,3194,KS,38.869691,-94.663224
16,CMG-1025,5.3,6.9,4,16,MO,39.057066,-94.605593
736,CMG-1025,5.4,7.0,4,736,MO,39.247708,-94.465917
1382,CMG-1025,5.4,7.0,4,1382,MO,39.025883,-94.248295
