Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode,Offerings,Market Tone,Price Comment,Comments
"PEPPERS, OTHER",ATLANTA,,1 1/9 bushel cartons/crates,JALAPENO,,,07/28/2023,31.0,35.0,32.0,32.0,MEXICO,,exlge,,,,,,,,,N,,,ABOUT STEADY.,occas lower,
"PEPPERS, OTHER",ATLANTA,,1 1/9 bushel cartons/crates,JALAPENO,,,07/28/2023,40.0,44.0,,,MEXICO,,exlge,RED,,,,,,,,N,,,ABOUT STEADY.,,
"PEPPERS, OTHER",ATLANTA,,1 1/9 bushel cartons/crates,JALAPENO,,,07/28/2023,30.0,31.0,,,NORTH CAROLINA,,lge,,,,,,,,,N,,,ABOUT STEADY.,few 27.00,
"PEPPERS, OTHER",ATLANTA,,1/2 bushel crates,JALAPENO,,,07/28/2023,30.0,31.0,30.0,30.0,NORTH CAROLINA,,lge,,,,,,,,,N,,,ABOUT STEADY.,few 27.00,
"PEPPERS, OTHER",BALTIMORE,,1 1/9 bushel cartons,JALAPENO,,,07/28/2023,35.0,35.0,,,NORTH CAROLINA,,lge,,,,,,,,,N,,,STEADY.,,
"PEPPERS, OTHER",BALTIMORE,,1/2 bushel cartons,JALAPENO,,,07/28/2023,21.0,21.0,,,NORTH CAROLINA,,lge,,,,,,,,,N,,,STEADY.,,
"PEPPERS, OTHER",BALTIMORE,,40 lb containers,JALAPENO,,,07/28/2023,34.0,35.0,,,MEXICO,,exlge,GREEN,,,,,,,,N,,,STEADY.,,
"PEPPERS, OTHER",BOSTON,,1 1/9 bushel cartons,JALAPENO,,,07/28/2023,36.0,38.0,,,FLORIDA,,med-lge,,,,,,,,,N,,,STEADY.,,
"PEPPERS, OTHER",BOSTON,,1 1/9 bushel cartons,JALAPENO,,,07/28/2023,30.0,34.0,,,GEORGIA,,med-lge,,,,,,,,,N,,,STEADY.,,
"PEPPERS, OTHER",BOSTON,,1/2 bushel cartons,JALAPENO,,,07/28/2023,16.0,18.0,,,FLORIDA,,med-lge,,,,,,,,,N,,,STEADY.,occas higher & lower,
"PEPPERS, OTHER",CHICAGO,,1 1/9 bushel cartons,JALAPENO,,,07/28/2023,30.0,33.0,31.0,32.0,MEXICO,,exlge,,,,,,,,,N,,,STEADY.,,Wide range in quality and condition.
"PEPPERS, OTHER",CHICAGO,,1 1/9 bushel cartons,JALAPENO,,,07/28/2023,28.0,30.0,,,MEXICO,,lge,,,,,,,,,N,,,STEADY.,,Wide range in quality and condition.
"PEPPERS, OTHER",CHICAGO,,1 1/9 bushel cartons,JALAPENO,,,07/28/2023,26.0,26.0,,,NORTH CAROLINA,,lge,GREEN,,,,,,,,N,,,STEADY.,,Wide range in quality and condition.
"PEPPERS, OTHER",CHICAGO,,crates,JALAPENO,,,07/28/2023,32.0,33.0,,,MEXICO,,lge,GREEN,,,,,,,,N,,,STEADY.,(35 LB),Wide range in quality and condition.
"PEPPERS, OTHER",COLUMBIA,,1 1/9 bushel cartons,JALAPENO,,,07/28/2023,27.0,32.0,,,SOUTH CAROLINA,,exlge,,,,,,,,,N,,,STEADY.,few higher,
"PEPPERS, OTHER",COLUMBIA,,1/2 bushel cartons,JALAPENO,,,07/28/2023,15.0,18.0,,,,,exlge,,,,,,,,,L,,,STEADY.,,
"PEPPERS, OTHER",COLUMBIA,,1/2 bushel cartons,JALAPENO,,,07/28/2023,15.0,15.0,,,SOUTH CAROLINA,,exlge,,,,,,,,,N,,,STEADY.,,
"PEPPERS, OTHER",DETROIT,,1 1/9 bushel cartons,JALAPENO,,,07/28/2023,23.5,26.5,24.5,25.5,GEORGIA,,med,GREEN,,,,,,,,N,,,STEADY.,,
"PEPPERS, OTHER",DETROIT,,1 1/9 bushel cartons,JALAPENO,,,07/28/2023,24.0,26.0,24.0,25.0,NORTH CAROLINA,,med,GREEN,,,,,,,,N,,,STEADY.,,
"PEPPERS, OTHER",DETROIT,,1/2 bushel cartons,JALAPENO,,,07/28/2023,14.0,15.0,,,GEORGIA,,med,GREEN,,,,,,,,N,,,STEADY.,,
"PEPPERS, OTHER",DETROIT,,40 lb containers,JALAPENO,,,07/28/2023,24.5,24.5,,,MEXICO,,med,GREEN,,,,,,,,N,,,STEADY.,,
"PEPPERS, OTHER",DETROIT,,25 lb containers,JALAPENO,RED,,07/28/2023,48.0,48.0,,,MEXICO,,med-lge,,,,,,,,,N,,,STEADY.,,
"PEPPERS, OTHER",LOS ANGELES,,1 1/9 bushel cartons,JALAPENO,,,07/28/2023,32.0,35.0,,,CALIFORNIA,SAN JOAQUIN VALLEY CALIFORNIA,,,,,,,,,,N,,LIGHT.,STEADY.,,
