Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode,Offerings,Market Tone,Price Comment,Comments
LIMES,ATLANTA,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,9.0,10.5,,,MEXICO,,36s,,,,,,,,,N,,,ABOUT STEADY.,,"Wide range in price, condition, and quality."
LIMES,ATLANTA,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,,,,,MEXICO,,48s,,,,,,FINEAPPEAR,,,N,,,ABOUT STEADY.,one lot 14.25,"Wide range in price, condition, and quality."
LIMES,ATLANTA,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,8.0,9.0,,,MEXICO,,48s,,,,,,,,,N,,,ABOUT STEADY.,,"Wide range in price, condition, and quality."
LIMES,ATLANTA,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,7.0,8.0,,,MEXICO,,54s,,,,,,,,,N,,,ABOUT STEADY.,,"Wide range in price, condition, and quality."
LIMES,ATLANTA,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,,,,,MEXICO,,110s,,,,,,,,,N,,,ABOUT STEADY.,offerings insufficient to quote,"Wide range in price, condition, and quality."
LIMES,ATLANTA,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,28.0,30.0,,,MEXICO,,150s,,,,,,,,,N,,,ABOUT STEADY.,,"Wide range in price, condition, and quality."
LIMES,ATLANTA,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,23.0,26.0,,,MEXICO,,175s,,,,,,,,,N,,,ABOUT STEADY.,few 28.00,"Wide range in price, condition, and quality."
LIMES,ATLANTA,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,22.0,24.0,,,MEXICO,,200s,,,,,,,,,N,,,ABOUT STEADY.,few 26.00,"Wide range in price, condition, and quality."
LIMES,ATLANTA,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,20.0,22.0,,,MEXICO,,230s,,,,,,,,,N,,,ABOUT STEADY.,,"Wide range in price, condition, and quality."
LIMES,BALTIMORE,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,8.0,8.0,,,MEXICO,,48s,,,,,,,,,N,,,STEADY.,,
LIMES,BALTIMORE,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,7.0,8.0,,,MEXICO,,54s,,,,,,,,,N,,,STEADY.,,
LIMES,BALTIMORE,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,27.0,29.0,,,MEXICO,,175s,,,,,,,,,N,,,STEADY.,few 24.00,
LIMES,BALTIMORE,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,24.0,26.0,,,MEXICO,,200s,,,,,,,,,N,,,STEADY.,occas higher,
LIMES,BALTIMORE,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,27.0,27.0,,,MEXICO,,230s,,,,,,,,,N,,,STEADY.,,
LIMES,BALTIMORE,,containers 17 2-lb bags,SEEDED TYPES,,No Grade Marks,06/27/2023,42.0,43.0,,,MEXICO,,,,,,,,,,,N,,,STEADY.,,
LIMES,BOSTON,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,10.0,10.0,,,MEXICO,,36s,,,,,,,,,N,,,HIGHER.,,
LIMES,BOSTON,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,9.0,9.0,,,MEXICO,,42s,,,,,,,,,N,,,HIGHER.,,
LIMES,BOSTON,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,20.0,20.0,,,MEXICO,,42s,,,,,,FINEAPPEAR,,,N,,,HIGHER.,,
LIMES,BOSTON,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,6.0,8.0,,,MEXICO,,48s,,,,,,,,,N,,,HIGHER.,,
LIMES,BOSTON,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,7.0,7.0,,,MEXICO,,54s,,,,,,,,,N,,,HIGHER.,,
LIMES,BOSTON,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,26.0,30.0,28.0,28.0,MEXICO,,110s,,,,,,,,,N,,,HIGHER.,,
LIMES,BOSTON,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,25.0,30.0,26.0,28.0,MEXICO,,150s,,,,,,,,,N,,,HIGHER.,,
LIMES,BOSTON,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,35.0,35.0,,,MEXICO,,150s,,,,,,FINEAPPEAR,,,N,,,HIGHER.,,
LIMES,BOSTON,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,24.0,25.0,,,MEXICO,,175s,,,,,,,,,N,,,HIGHER.,,
LIMES,BOSTON,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,35.0,35.0,,,MEXICO,,175s,,,,,,FINEAPPEAR,,,N,,,HIGHER.,,
LIMES,BOSTON,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,20.0,25.0,23.0,24.0,MEXICO,,200s,,,,,,,,,N,,,HIGHER.,,
LIMES,BOSTON,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,30.0,30.0,,,MEXICO,,200s,,,,,,FINEAPPEAR,,,N,,,HIGHER.,,
LIMES,BOSTON,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,20.0,20.0,,,MEXICO,,230s,,,,,,,,,N,,,HIGHER.,,
LIMES,BOSTON,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,22.0,23.0,,,MEXICO,,230s,,,,,,FINEAPPEAR,,,N,,,HIGHER.,,
LIMES,CHICAGO,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,7.5,7.5,,,MEXICO,,48s,,,,,,,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,7.5,7.5,,,MEXICO,,54s,,,,,,,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,45.0,45.0,,,MEXICO,,110s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,35.0,36.0,,,MEXICO,,110s,,,,,,,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,28.0,32.0,29.0,31.0,MEXICO,,150s,,,,,,,,,N,,,STEADY.,occas higher/lower,"Wide range in price, quality and condition."
LIMES,CHICAGO,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,45.0,45.0,,,MEXICO,,150s,,,,,,FINEAPPEAR,,,N,,,STEADY.,occas lower,"Wide range in price, quality and condition."
LIMES,CHICAGO,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,22.0,22.0,,,MEXICO,,175s,,,,FR QUAL,,,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,38.0,38.0,,,MEXICO,,175s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,25.0,30.0,26.0,29.0,MEXICO,,175s,,,,,,,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,34.0,34.0,,,MEXICO,,200s,,,,,,FINEAPPEAR,,,N,,,STEADY.,occas higher,"Wide range in price, quality and condition."
LIMES,CHICAGO,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,20.0,21.0,,,MEXICO,,200s,,,,FR QUAL,,,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,28.0,28.0,,,MEXICO,,200s,,,,,,,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,24.0,27.0,25.0,26.0,MEXICO,,230s,,,,,,,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,19.0,19.0,,,MEXICO,,230s,,,,FR QUAL,,,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,32.0,32.0,,,MEXICO,,230s,,,,,,FINEAPPEAR,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,22.0,24.0,,,MEXICO,,250s,,,,,,,,,N,,,STEADY.,occas higher/lower,"Wide range in price, quality and condition."
LIMES,CHICAGO,Organic,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,47.5,47.5,,,MEXICO,,150s,,,,,,,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,containers 17 2-lb bags,SEEDED TYPES,,No Grade Marks,06/27/2023,36.0,36.0,,,MEXICO,,500s,,,,,,,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,containers 17 2-lb bags,SEEDED TYPES,,No Grade Marks,06/27/2023,40.0,42.0,,,MEXICO,,600s,,,,,,,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,CHICAGO,,flats 10 1-lb mesh bags,SEEDED TYPES,,No Grade Marks,06/27/2023,22.0,22.0,,,MEXICO,,500s,,,,,,,,,N,,,STEADY.,,"Wide range in price, quality and condition."
LIMES,COLUMBIA,,10 lb cartons,SEEDLESS TYPE,,,06/27/2023,12.0,12.0,,,MEXICO,,54s,,,,,,,,,N,,,STEADY.,,
LIMES,COLUMBIA,,40 lb cartons,SEEDLESS TYPE,,,06/27/2023,24.0,30.0,,,MEXICO,,200s,,,,,,,,,N,,,STEADY.,,
LIMES,DETROIT,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,11.5,13.0,12.5,12.5,MEXICO,,36s,,,,,,,,,N,,,STEADY.,,
LIMES,DETROIT,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,11.5,12.5,,,MEXICO,,42s,,,,,,,,,N,,,STEADY.,,
LIMES,DETROIT,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,9.0,11.5,10.5,10.5,MEXICO,,48s,,,,,,,,,N,,,STEADY.,,
LIMES,DETROIT,,10 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,8.0,8.5,,,MEXICO,,54s,,,,,,,,,N,,,STEADY.,,
LIMES,DETROIT,,40 lb cartons,SEEDLESS TYPE,,No Grade Marks,06/27/2023,21.0,22.0,,,MEXICO,,150s,,,,,,,,,N,,,STEADY.,,
